,,East,,Central,,West,
Day,Date,Songlist,Recording,Songlist,Recording,Songlist,Recording
1,8/29/2022,https://gist.github.com/481457d581d4c288a97702a0d18df8fa,https://youtu.be/6ukqAMmu5LE,,,https://gist.github.com/4473e3ec24253119739a4554c2f395e2,https://youtu.be/kf5PX3I-VQw
2,8/30/2022,https://gist.github.com/80a18a8389793278dcaa6325eebedd67,https://youtu.be/sXiH_PXF4_0,https://gist.github.com/c8123eaefe79e9e991bd0dc9826a2546,https://youtu.be/agAa3jX70DU,https://gist.github.com/816bef5f1538f558c254bd0219f8c5ec,https://youtu.be/P_e9zVm0Hs8
3,8/31/2022,https://gist.github.com/6e6b0739d892cfcbde1d58ef628037c0,https://youtu.be/NMbcjcvjSGw,https://gist.github.com/d47c7f9f3b46266e0d02f3d59d8960e0,https://youtu.be/J-PeymhRXRY,https://gist.github.com/d4f8928c99446e05cfbf58f63c921196,https://youtu.be/8E_w3Q7uMBs
4,9/1/2022,https://gist.github.com/09caeb36d7387601e9b39cfb2d5b2e25,https://youtu.be/bJ77ESS6aS8,https://gist.github.com/5392befc577ac7d0f73579c1a93a2b52,https://youtu.be/FLrZ-lNdpFs,https://gist.github.com/e4e88956ee09ca1bed6854f296fbeeb1,https://youtu.be/nzTEydSN3Uo
5,9/2/2022,https://gist.github.com/da7568cfc2bd6265b142a7718c4e8cd4,https://youtu.be/c-g_mQ50Vn0,https://gist.github.com/1b77340880f188a292d5d2d253700a5e,https://youtu.be/1qdpeK7E5zM,https://gist.github.com/5d06f12939dbda9c417b864b44e189cd,https://youtu.be/HOkU-GrvelA
6,9/3/2022,https://gist.github.com/eecb8815eacd5b6116f830982599dfd4,https://youtu.be/JpYsTQ6_fYs,https://gist.github.com/2b304a883f763ac7216f5bbfc4e91d99,https://youtu.be/C2_aPqVKb9g,https://gist.github.com/f5ede3f8f27415a8139aa2dbaeec0f1a,https://youtu.be/7qYRteDDUQE
7,9/4/2022,https://gist.github.com/acaf26c58f5f832f532aa3638bc6e1ba,https://youtu.be/ucvf8Mfbxg8,https://gist.github.com/7bf7ed60889a3a93718ca671767a5dd7,https://youtu.be/Z_I3V0salEk,https://gist.github.com/8d08373831418dc2adf6ea69d8fd2cd5,https://youtu.be/J2YQuCio6ys
8,9/5/2022,https://gist.github.com/44f8236cd5c3efa2f5287e29b5a8b6fe,https://youtu.be/Mb0DfQXrOdQ,https://gist.github.com/7e61a3191870cc2376a7d5e66fa49107,https://youtu.be/F608g5OSfa8,https://gist.github.com/6c09c7f846a961ad01bc66bfd6219812,https://youtu.be/MDNoYyPlN1M
9,9/6/2022,https://gist.github.com/88f644c0e3b17e401f1869b6d91af7de,https://youtu.be/Li57E7QkLOw,https://gist.github.com/28de10c351641831db3b73d3a3eca942,https://youtu.be/CNg2p9LoWSc,https://gist.github.com/179e8ed22b23444e5191e209e8624f16,https://youtu.be/6jZJY6A8AlQ
