,,East,,Central,,West,
Day,Date,Songlist,Recording,Songlist,Recording,Songlist,Recording
1,8/1/2022,https://gist.github.com/a85e8d50d14e5dd575c803fb42c4cfc5,https://youtu.be/ptLSxruyODc,https://gist.github.com/321143be4fa8a9b0d74946e7403223c8,https://youtu.be/cxLqmF0Dmo8,https://gist.github.com/3c4a00f58c06e1d0616f3cc85c4be5de,https://youtu.be/9CkSqtYNVzk
2,8/2/2022,https://gist.github.com/1e8ac1d8cf73221bb34457cebbe89998,https://youtu.be/NV6jPMZ3soc,https://gist.github.com/482b746224b77cb15316ddc6f85b7e2c,https://youtu.be/r_nzhx3t1x0,https://gist.github.com/5a78376b1cc92c87a0f3fae8558aaf93,https://youtu.be/LneQPffMo88
3,8/3/2022,https://gist.github.com/a62247b647c32f653087e35cf20e27b1,https://youtu.be/6XMNhU1w7os,https://gist.github.com/f8382a6bd0658049e7e902f6f5ce607f,https://youtu.be/aSjnoYvLkfY,https://gist.github.com/3315bb7c5948fc4a755b01c789e3fc82,https://youtu.be/Vj5hE-dfobE
4,8/4/2022,https://gist.github.com/76857cf5463f1e212d59e8937a5a7efb,https://youtu.be/OW5_KtiNZi8,https://gist.github.com/5fc92c7abc2a585d996f4a0ad3d5fb67,https://youtu.be/2zJkeROhLFI,https://gist.github.com/c50bf7d6040bffe3853a79fe13709f4b,https://youtu.be/56PpEo9NsgM
5,8/5/2022,https://gist.github.com/0bec25a1308cd378a05da7dce2e302af,https://youtu.be/hvvmk9TpBN4,https://gist.github.com/5ecf9d79e7348cb687cc9808c61a39fa,https://youtu.be/hjEveDPwUVw,https://gist.github.com/7b9c3f78bb41a085647c36cba9488c06,https://youtu.be/KGtr-U3ojC4
6,8/6/2022,https://gist.github.com/f63713d3ff752175284c2b0bf92b28da,https://youtu.be/t-Ao4k2iS0o,https://gist.github.com/46117dc82fbdb3a1f20d4497df1cab17,https://youtu.be/anVm2S3Go6c,https://gist.github.com/95dc405fa7d448c2a54a2e3ab95739af,https://youtu.be/CL7l2WGVxhQ
7,8/7/2022,https://gist.github.com/7006891062879b3d8b66927dcb556578,https://youtu.be/8OsU-tHFAFU,https://gist.github.com/b21f893fd607bd845c3720b53b840e98,https://youtu.be/LGJaXrBEwlA,https://gist.github.com/4d5651bc0ed486c7e87880d8b14e45bc,https://youtu.be/3GxIM24HDGs
8,8/8/2022,https://gist.github.com/8b65f828972b675d03e787db90e77525,https://youtu.be/fCYl75MphQc,https://gist.github.com/c71dc73d6bb4ea26f56967fd5f795dee,https://youtu.be/0HyyYVTHHCY,https://gist.github.com/9c25a60093db8be1f56c4ed9922abbae,https://youtu.be/VU1jHsgYhII
9,8/9/2022,https://gist.github.com/7264cdbd9779822b0777574f3de765f2,https://youtu.be/geCksuVPI4c,https://gist.github.com/a5f48457b487f634e6f0fed725a7d61d,https://youtu.be/J1ELca_wgOU,https://gist.github.com/60c90a3bff75e1213521a0d6fc2aa553,https://youtu.be/VZgXoefWt_0
