,,East,,Central,,West,
Day,Date,Songlist,Recording,Songlist,Recording,Songlist,Recording
1,9/26/2022,,,https://gist.github.com/1d7ea5e01fce977ee6c24a6f6fec9bdb,https://youtu.be/tVNOZziSFGo,https://gist.github.com/a9348b6bcd085b48e766b94ff07764e7,https://youtu.be/fUqkqMQ78N4
2,9/27/2022,https://gist.github.com/6b85b0c5927483d9efd22655f8bf5fe3,https://youtu.be/QCyHMW2FFl8,https://gist.github.com/e8d685d1be4b39870368a12b31c22ecc,https://youtu.be/W_s-B2ifeb0,https://gist.github.com/4a6ec85967751099be0666f144d20c18,https://youtu.be/TsvbK5QvR48
3,9/28/2022,https://gist.github.com/e4039c2dddee4025cc31f99b08111a79,https://youtu.be/RCS8cRaSnn8,https://gist.github.com/5c0782664f3ac2644825b380ccea6ecb,https://youtu.be/GFO0nQzuGls,https://gist.github.com/4f4854d02cce60d416a3fad0ee7cafb3,https://youtu.be/xzYWec3BO7k
4,9/29/2022,https://gist.github.com/fa290d184ef09c37846a9e10d45a435d,https://youtu.be/c94KmCXY-S0,https://gist.github.com/706d36a00a54beaba0d1cd93260a1a21,,https://gist.github.com/d76a5f99f547f30cc6435cd6263b2411,https://youtu.be/PhO8aGzT--A
5,9/30/2022,https://gist.github.com/1239aa20608d35505896aaa2e69fbc07,https://youtu.be/73oM7U1yDn8,https://gist.github.com/4b77aea0b2559a8839a4eca5a0413d7c,https://youtu.be/f9QX0o1xQBE,https://gist.github.com/92d8e0b112b4e0391a2fc9ea39d672b4,https://youtu.be/wZgRS156fYs
6,10/1/2022,https://gist.github.com/402a48a6f663a8bf9104360f2b774db5,https://youtu.be/4qAmdpu42Qk,https://gist.github.com/659b53604dd3551147748b03373d7443,https://youtu.be/RuNG3sB7Acs,https://gist.github.com/beedb7d5b19dceaf9675626a27bfb829,https://youtu.be/kf1pb_PXuSo
7,10/2/2022,https://gist.github.com/844d31edabfe511001e28bf94e3f4dac,https://youtu.be/DIfWtStD2HI,https://gist.github.com/0f22f5e962d8f6d52cfd3809cfe934a9,https://youtu.be/SG9UZhwQdUo,https://gist.github.com/9f09942f857839365be641ee137eb933,https://youtu.be/YQmENn7777c
8,10/3/2022,https://gist.github.com/b835aee6906ef02eca18ab44c4eba757,https://youtu.be/bRR92DRBcZs,https://gist.github.com/5af0de450c9da39c981439a85450220a,https://youtu.be/RUs0fhic9fI,https://gist.github.com/c7a05fc5339d457cc7cb1dddb814e4a4,https://youtu.be/j6N3di4U86Y
9,10/4/2022,https://gist.github.com/07229f46a1d385e13c2a57e7fc033546,https://youtu.be/11zgtE2IZRQ,N/A,https://youtu.be/FbQrt3jNZqs,https://gist.github.com/f89efebbb770d1c8199837732570253a,https://youtu.be/iQ2GD_51KLg
10,10/5/2022,https://gist.github.com/a34df64222046bc61ca1120523c8f102,https://youtu.be/usCvChzeIIQ,https://gist.github.com/173cf4758eb7296e6fcda9a318fe43c4,https://youtu.be/lW-HmfiHAb8,https://gist.github.com/5ef84915722d28338bb2e1980c86f031,https://youtu.be/GaOrjKSLKvE
11,10/6/2022,https://gist.github.com/77253f9f020732b9443c1781ebdd6fb5,https://youtu.be/azeU6jrR8KE,https://gist.github.com/9a44a089335744cb452023ffbf5a31f2,https://youtu.be/M-MH4qhgvCE,https://gist.github.com/12cc2057f697bc480b1b3d3607609dfe,https://youtu.be/ZCny7nVVckM
12,10/7/2022,https://gist.github.com/8f84724ba7aed48f25ae4a23bcee7902,https://youtu.be/XN2bjOxb3l4,https://gist.github.com/19d9869ac0549bfbb8fb521d64fca087,https://youtu.be/yP58qghWOUI,https://gist.github.com/55b7624c3bc54238195ff07c2161bcd3,https://youtu.be/ZscYDrKEQ_w
13,10/8/2022,https://gist.github.com/f901203f5e3f3580fa1c7f285ea0a7a4,https://youtu.be/HP7N7n-xFAo,https://gist.github.com/c978e169817fef8a18c6f7d7f1c78cfd,https://youtu.be/BXLXf0ZCsUI,https://gist.github.com/afa3f620662187d48f4eff115dae07ee,https://youtu.be/8bgmm0_bOG0
14,10/9/2022,https://gist.github.com/f6ff1296c8820352ea4d23513a0ce2d4,https://youtu.be/-AUlBd8_m8s,https://gist.github.com/17a466a9bcf6cf9bb80859be0af3dd0e,https://youtu.be/SIA62AS4tPU,https://gist.github.com/86279c8444f360c986d62a42721847c0,https://youtu.be/r712Dof4Gys
15,10/10/2022,https://gist.github.com/648c9ad8cdc768ea3f5e9c19cf0b10ff,https://youtu.be/pHvwllOHlnk,https://gist.github.com/5600799ab39e96d59293202bc92f84b5,https://youtu.be/-FG73_PSZ4o,https://gist.github.com/3b2947d48dfe8b85e88fc758f79c5874,https://youtu.be/EQL-vE983sM
16,10/11/2022,https://gist.github.com/37d52bd0c839ca188e1fd599610c0a0f,https://youtu.be/g3UzbwTzlJc,https://gist.github.com/607be3c2a6c8640ea162985d97fd1519,https://youtu.be/XCBxygEZ0UU,https://gist.github.com/346d0983d80a76c9c3a34368626c185c,https://youtu.be/aybM0Zv0rpw
17,10/12/2022,https://gist.github.com/a00a14e3b9c17889d7d2b83e4aef703c,https://youtu.be/greHAjIu1E8,https://gist.github.com/56c059683c8043f5e2107e78e931edaa,https://youtu.be/psp4QGSGNYc,https://gist.github.com/dede73edc803b88022c81f2a154dfd47,https://youtu.be/yZ-NXr-oUHw
18,10/13/2022,https://gist.github.com/eedeade01c4bfdb580be7c6dc05bb702,https://youtu.be/ZTAIUy1D5vQ,https://gist.github.com/3fcfb5461dfb7f8782b7ebd4761a9acf,https://youtu.be/g27K7LUoqcA,https://gist.github.com/be8b189deb50b0022bfcd2088959e80a,https://youtu.be/dzC2kT5hu4c
19,10/14/2022,https://gist.github.com/15f81779dc8c836f43ea174038329b07,https://youtu.be/p4KtOz5S-YM,https://gist.github.com/b1972ac57e9021462c02abc451fcbe2c,https://youtu.be/dJ3zR0yu1tY,https://gist.github.com/1fbce4f6302658304cac7871381e64b3,https://youtu.be/BRAy6UQ-hlQ
20,10/15/2022,https://gist.github.com/6484b32e25e7f32a61018e3c6659036f,https://youtu.be/KuYfFELIMKc,https://gist.github.com/99dd065ac6d19c62f45d567fea225ca8,https://youtu.be/EP6bchFXSGY,https://gist.github.com/a1819234fe8d0c49f7fd750e5a38bf23,https://youtu.be/rZxQfKHwTUI
21,10/16/2022,https://gist.github.com/f5a5a290d3f64544d386f67b18615d2d,https://youtu.be/oHpNwALL0h8,https://gist.github.com/280cdfa7c49f42e2f17ef2b4b0e129fa,https://youtu.be/kHRHBjKqRhE,https://gist.github.com/735961e2045f5351b2508755f213a1a1,https://youtu.be/jfqvsjbOTF4
22,10/17/2022,https://gist.github.com/ce9c7671cc7acff168e8d9c39feaaf18,https://youtu.be/iffde4IUriM,https://gist.github.com/22dac741e76a79ac5518df853137790b,https://youtu.be/gizBjKg5Dyk,https://gist.github.com/368316ecf9bc0c5a52a07bdb991c7d3e,https://youtu.be/XKCw5RAM_J8
23,10/18/2022,https://gist.github.com/db2c518ab3b1c7fec32badcc53df9c45,https://youtu.be/c9sDRk2sfSI,https://gist.github.com/cc7191c37c8d05d9569aee4285824cf7,https://youtu.be/oJ6UE9sYc2s,https://gist.github.com/40816cd33d2f189c82b102a20fb7299f,https://youtu.be/8P_oHUmYJJ8
24,10/19/2022,https://gist.github.com/66199ffe562c00a1580e337284c96de2,https://youtu.be/PPyW1aE4hiA,https://gist.github.com/674eeac9f3ede5dded9947803a0a413c,https://youtu.be/KA_TfqQqlOM,https://gist.github.com/f3633dd6868f2f9e162ca498d8f9b5d8,https://youtu.be/N5--vZShdtk
25,10/20/2022,https://gist.github.com/21d444b6a8cab5bd33666b477a4a545d,https://youtu.be/UWQ8td7DefM,https://gist.github.com/72b6ab6aec8075fc74f8ff0daf18cdca,https://youtu.be/pkboijY-cIM,https://gist.github.com/1bff7da351627b24bae5b856f49fa746,https://youtu.be/QYqBUqiEwHU
26,10/21/2022,https://gist.github.com/4d4ceff4b390e39387be435a951069c0,https://youtu.be/G2lTRO0pgJg,https://gist.github.com/891a32f8c129177d687dd1ae0ce1320d,https://youtu.be/e94gyRQS5dg,https://gist.github.com/96fa6d9ab9d61bae44736901d3151095,https://youtu.be/J7UVId1v9Zc
27,10/22/2022,https://gist.github.com/c76b7b85295f481840178cd0e5cebd81,https://youtu.be/OUsrjFFDu4o,https://gist.github.com/0eac850af945dae84bf312cbc203c683,https://youtu.be/f4nb3hbn8Ss,https://gist.github.com/a0864957dc31d0aab6e7392e62f58379,https://youtu.be/G3CAus_Ysyc
28,10/23/2022,https://gist.github.com/8e7cb584b59a17effac35307574affcc,https://youtu.be/i42JyNFQFME,https://gist.github.com/3b0f354929de448fdb7f929ad7526a9e,https://youtu.be/sxj2bYPhvBY,https://gist.github.com/ddb161faff869d542a701cc4a563b817,https://youtu.be/omA_NeJfib0
29,10/24/2022,https://gist.github.com/c21b5c5fea9b53928966b8dbca4c55f6,https://youtu.be/PeGdipaCqFE,https://gist.github.com/20fdd4ceda3fc4d6a401dc5758d59d6a,https://youtu.be/b_8xfStjJp4,https://gist.github.com/978bdc161264298ffeaaab507c3581e7,https://youtu.be/C-R7AWauLGQ
30,10/25/2022,https://gist.github.com/0a08c7614666911773cee967b6e9c4d6,https://youtu.be/cm7MhUi61g0,https://gist.github.com/a9d3289fe171e91fa0d1092bf7db2845,https://youtu.be/XWj7Kw3OuFM,https://gist.github.com/84c9088e2ff345f668e102ecd686a981,https://youtu.be/m33yfp5o75s
31,10/26/2022,https://gist.github.com/1d83541ea91b977ed7e1dd176b841253,https://youtu.be/tm43E6Fe0do,https://gist.github.com/c0f307881647e2ad7a6614135702ae5c,https://youtu.be/F5fVRWZYZT8,https://gist.github.com/51d20c5df1cb59e4e55594ce6502a302,https://youtu.be/5pCg_XMkDQs
32,10/27/2022,,,https://gist.github.com/e343a769c0aaa527b67a7b50aebae4d8,https://youtu.be/1HPCzXTLS6U,https://gist.github.com/f769ca6eaff7663300b3ca9a40cdb92e,https://youtu.be/UkteXtOEiYI
33,10/28/2022,https://gist.github.com/bd467559309dd14a6096ef5000755193,https://youtu.be/2Bpia-PGcG0,https://gist.github.com/1e1728b301934d16e29bc74b8d93bb23,https://youtu.be/IKSpm09FPZ0,https://gist.github.com/ceb2626beafade339dfa122746d1bc35,https://youtu.be/jngAifDq_GM
Championship,10/29/2022,https://gist.github.com/acc5d55424e1506034d1bb0ee02b78ae,https://youtu.be/hN4mbQuEIis,https://gist.github.com/528878b7b9cd36be4368cc2395c70b61,https://youtu.be/AvWXx-i6qp0,https://gist.github.com/0ba7c35b4c47262e3b6d743d168b7a41,https://youtu.be/N2cEqOBOVO4
